,data
62,"['Resources', '-', 'Tweets', 'of', 'the', 'Week', '(', '9.13', '.', '10', '-', '9.17', '.', '10)', ':', 'This', 'weeks', 'Tweets', 'of', 'the', 'Week', 'has', 'some', 'cool', 'inspiration', ',', 'coupl', '...', 'http://bit.ly/95X8G5']"
63,"['well', 'poolnewsfeed', 'when', ""you're"", 'good', ',', ""you're"", 'good', '!']"
64,"['@zeeDOTi', 'i', 'might', 'join', 'in', 'if', 'I', 'make', 'it', 'home', 'in', 'time', '.', ':)']"
65,"['When', 'TIFF', 'is', 'in', 'Tdot', ',', 'ALWAYS', 'have', 'ur', 'camera', 'in', 'purse', '!', 'Managed', 'to', 'get', 'a', 'pic', 'of', 'EVA', 'MENDES', '!', ""Didn't"", 'know', 'she', 'was', 'signing', 'autographs', '@', 'the', 'mall', '.']"
66,"['I', 'see', 'her', 'tomorrow', ':', '3', 'so', 'yeah~', 'ca', ""n't"", 'wait']"
67,"['@singingislife15', 'Follow', 'Friday', ':)']"
68,"['@TheGayDragon', '@RealmOfMachias', 'Sir', '..', 'I', 'SWEAR', 'I', 'had', 'nothing', 'to', 'do', 'with', 'it', 'this', 'time', '..', 'honest', '..', 'please', ""don't"", 'hurt', 'me', '..']"
69,"['RT', '@Quotealicious', ':', 'When', 'ever', 'i', 'see', 'a', 'cute', 'love', 'story', 'movie', ',', 'It', ""'s"", 'always', 'you', 'that', 'comes', 'into', 'my', 'mind', '#Quotealicious']"
70,"['Exclusive', ':', 'Rep', '.', 'Steve', 'King', 'on', 'ObamaCare', ',', 'Tea', 'Party', ',', 'and', 'Constitution', 'Day', ':', 'The', 'inclusion', 'of', 'the', 'Tenth', 'Amendment', 'in', '...', 'http://bit.ly/cYITA8']"
71,"['@TimothyJMoore', 'Thnx', ',', ""I'm"", 'glad', 'they', ""weren't"", 'totally', 'ignored', ',', 'but', 'one', ""isn't"", 'many', 'when', 'you', 'think', 'how', 'many', 'there', 'are', 'in', 'the', 'CofE', '!']"
72,"['Justice', 'Breyer', ""'s"", 'About', 'Face', ':', 'Koran-Burning', 'Is', 'Constitutionally', 'Protected', 'After', 'All', 'via', 'Atlas', 'Shrugs', 'http://tinyurl.com/39wg73o']"
73,"[""Don't"", 'forget', 'to', 'come', 'and', 'see', 'us', 'at', 'the', 'football', 'game', 'tomorrow', 'afternoon', '!', 'Go', 'Reivers', '!']"
74,"['...', 'asked', 'me', 'a', 'question', 'for', 'once', ',', 'but', 'no', '!', 'You', 'ask', 'me', 'about', 'fucking', 'donuts', 'you', 'donut', '...', 'have', 'a', 'nice', 'day', ':P']"
75,"['Here', 'we', 'go', ',', 'Friday', 'night', 'craziness']"
76,"['CHILLIN', '@LIVE', 'TONIGHT', '!']"
77,"['ugh', 'so', 'this', 'chick', 'onFB', 'jus', 'wrote', 'this', 'long', 'status', 'cussin', 'me', 'out', ',', 'but', 'im', 'not', 'even', 'gonna', 'stoop', 'to', 'her', 'leve', 'but', 'i', 'wanna', 'bomb', 'her', 'ass', 'out', 'so', 'bad']"
78,"['today', 'just', ""doesn't"", 'feel', 'like', 'a', 'Friday']"
79,"['APO', 'disaster', 'relief', 'tomorrow', '10-12', '.', 'Sign', 'up', 'on', 'the', 'website', '!']"
80,"['Every', 'seven', 'years', 'you', 'lose', 'around', 'half', 'of', 'your', 'friends', ',', 'and', 'replace', 'them', 'with', 'new', 'friends', '.']"
81,"['RT', '@rainnwilson', ':', 'Hey', ',', 'Seattle-ites', '!', 'Check', 'it', ':', 'http://www.officetally.com/rainn-wilson-and-friends-seattle-oct-23']"
82,"['For', 'code', ""I've"", 'written', 'since', 'Sept', ""'"", '09', ',', 'the', 'delay', 'between', 'commit', 'to', 'SCM', 'and', 'running', 'on', 'customer', 'hardware', 'has', 'been', 'about', '10', 'days', '.']"
83,"['Balloon', 'glowing', '?', ""We'd"", 'love', 'to', 'see', 'you', 'before', 'or', 'after', 'at', 'Pi', '!', 'CWE', 'and', 'Delmar', 'are', 'around', 'the', 'corner', ',', 'Kirkwood', '&amp;', '...', 'http://fb.me/I6SZ52nW']"
84,"['All', 'caught', 'up', 'on', '@SHO_weeds', '!', 'After', 'eating', 'a', 'full', 'meal', 'that', 'was', 'the', 'next', 'thing', 'on', 'my', 'list', 'to', 'do', 'after', 'graduating', '!']"
85,"['http://bit.ly/aTTQYq', 'When', 'Pepsi', 'to', 'ring', 'usually', 'confirm', 'to', ',', 'winning', 'a', 'Nokia', '5800', '?']"
86,"['RT', '@Slijterijmeisje', ':', 'Kreeg', 'net', 'een', 'bruikbare', 'tip', 'van', 'iemand', 'die', 'vorige', 'week', 'was', 'begonnen', 'met', 'een', 'whiskydieet', ',', 'hij', 'was', 'nu', 'al', '3', 'dagen', 'kwijt']"
87,"['#news', 'Dems', 'to', 'voters', ':', 'You', 'may', 'hate', 'us', ',', 'but', 'GOP', 'is', 'worse', '(', 'AP', ')', '(', 'Yahoo', '!', ')', ':', 'Share', 'With', 'Friends', ':', '|', 'Latest', 'Top', 'Ne', '...', 'http://adpro.co/aQxQtY']"
88,"['@snufflesgirl25', '@mo9x', 'Well', '.', 'just', 'beg', '@100monkeysmusic', '..', 'PLEASE', 'come', 'to', 'the', '#SBLeurope', 'Next', 'year', '!.', 'We', 'need', 'you', 'there', '!', '*puss', 'in', 'boots', 'eyes*']"
89,"['RT', '@DollarVanDemos', ':', '#BROOKLYN', '!', 'Stay', 'up', 'late', 'tonight', 'to', 'catch', 'the', '1', 'hr', 'special', 'of', 'Demos', '@', '3AM', 'on', 'BCAT', 'feat', '@BlissyCakes', '@YaGirlNicolette', '...']"
90,"['ahhh', 'the', 'disapointment', ',', 'after', 'all', 'them', 'awkward', 'bait', 'moments', '.']"
91,"['CLUB', 'BLU', 'tonite', '......', '90', ""'s"", 'music', '..', 'oldskool', 'night', 'wiith', 'dj', 'finese']"
92,"['ooo', '@claireymarsh', 'where', 'are', 'you', 'when', 'i', 'need', 'you', '..']"
93,"['@iDame2Please', 'yea', 'u', 'c', 'da', 'pic', '1st', 'Presbyterian', 'all', 'day', 'lol']"
94,"['Time', 'to', 'go', ',', 'hihi', '!', 'Beijinhos', ',', 'seus', 'viciados', ':', '*']"
95,"['RT', '@rocsidiaz', ':', '@Wale', 'ill', 'be', 'in', 'DC', 'tonight', 'where', 'u', 'at', '??', 'Ill', 'be', 'at', 'muse', '717', '6th', 'St', 'Nw', 'Dc', 'to', 'party']"
96,"['@LinnySmit', 'Linny', 'Linny', 'Linny', '.', 'U', 'are', 'something', 'lady', '...', 'Well', 'that', 'story', 'has', 'been', 'on', 'hold', 'for', 'weeks', 'now', ""hasn't"", 'it', '?', 'I', 'want', 'to', 'get', 'on', 'it', 'this', '&gt;', '&gt;']"
97,"['International', 'Observe', 'the', 'Moon', 'Night', '(', '9/18/2010', ')', '|', 'Saturday', ',', 'Sep', '18', ',', '06:00', 'PM', '|', 'http://bit.ly/bVOdBF', '#cuboulder']"
98,"['waiting', 'one', 'extra', 'day', 'was', 'a', 'STUPID', 'IDEA', 'because', 'now', 'everything', 'is', 'super', 'expensive', 'AAAAAHHH', '.', 'x_x', '*freakingoutkhsf*']"
99,"[""'Was"", 'going', 'to', 'stay', 'until', 'Sunday', 'but', 'my', '""', 'mother', '""', 'has', 'already', 'made', 'me', 'mad', 'furthermore', 'hair', 'appointment', 'tomrrw', 'and', 'back', 'to', 'Kent', ""!'""]"
100,"['@LewisDixon', 'Trust', 'me', '!', 'im', 'gonna', 'be', 'bringing', 'out', 'music', 'like', 'theres', 'no', 'tomorrow', ',', 'Be', 'doing', 'pure', 'blog', 'videos', '&amp;', 'freestyle', 'videos', '#Moesh', '!']"
101,"['@joshHnumber1fan', 'its', 'okay', 'then', '..', 'make', 'it', 'when', 'it', 'works', ':D']"
102,"['Asprin', ',', 'check', ',', 'cup', 'of', 'tea', ',', 'check', ',', 'pillow', ',', 'check', ',', 'warm', 'sleeping', 'bag', ',', 'check', ',', 'fanfiction', 'on', 'the', 'laptop', ',', 'check', '.', 'Time', 'to', 'settle', 'down', 'and', 'relax']"
103,"['@angelportugues', 'LMAO', '!', 'When', 'is', 'tht', 'one', 'day', '?:', 'P']"
104,"['The', 'Basic', 'Step', 'Before', 'You', 'Even', 'Start', 'Thinking', 'Of', 'Making', 'Your', '...:', 'Keyword', 'research', 'is', 'a', 'well', 'known', 'subject', ',', 'yet', 'so', '...', 'http://bit.ly/9XQgSr']"
105,"['today', 'just', 'does', ""n't"", 'feel', 'like', 'a', 'Friday']"
106,"['RT', '@Slijterijmeisje', ':', 'Kreeg', 'net', 'een', 'bruikbare', 'tip', 'van', 'iemand', 'die', 'vorige', 'week', 'was', 'begonnen', 'met', 'een', 'whiskydieet', ',', 'hij', 'was', 'nu', 'al', '3', 'dagen', 'kwijt']"
107,"['You', 'Get', 'What', 'You', 'Give', '~', 'Zac', 'Brown', 'Band', '40', 'days', 'in', 'the', 'top', '100', 'Release', 'Date', ':', 'September', '21', ',', '2010Buy', 'new', ':', '$', '18.98', '$', '...', 'http://amzn.to/9Cfkpc']"
108,"['Last', 'stop', 'of', 'the', 'day', 'thank', 'goddddd', '(@', 'H-E-B', 'Plus', ')', 'http://4sq.com/7RDhgd']"
109,"['its', 'friday', '.', 'but', 'instead', 'of', 'partying', 'or', 'doing', 'homework', '.', ""I'm"", 'going', 'to', 'tumblr', 'for', 'a', 'bit', 'and', 'sleep', 'XD']"
110,"[""i'm"", 'off', 'to', 'bed', '!', 'tomorrow', ""i'll"", 'go', 'to', 'Nijverdal', 'and', 'meet', '@ElineEpica', 'there', ',', 'on', 'her', 'sweeeet16', '#partyyy']"
111,"['@GOBLUE_FUCKosu', 'it', 'was', 'our', '10th', 'grade', 'year', '.', 'smh']"
112,"['I', 'think', 'one', 'of', 'the', 'coolest', 'things', 'to', 'do', 'would', 'be', 'to', 'hang', 'out', 'with', 'the', 'Rza', 'for', 'a', 'day', '.']"
113,"['You', 'remeber', 'we', 'were', 'sitting', 'there', 'by', 'the', 'water', 'you', 'put', 'your', 'arm', 'around', 'me', 'for', 'the', 'first', 'time', 'you', 'made', 'a', 'rebel', 'careless', 'mans', 'careful', 'daughter']"
114,"['@daxx_d24', 'best', 'feeling', 'in', 'the', 'world', 'twice', 'this', 'week', '.', 'Got', '3', 'more', 'on', 'the', 'way', 'lmao', 'i', 'cant', 'stop']"
115,"['@DEVEY2G', 'no', 'I', 'liked', 'the', 'one', 'u', 'had', 'had', 'that', 'time', 'but', ""I'm"", 'sure', 'I', 'cood', 'make', 'one', 'wit', 'my', 'bro', 'possibly']"
116,"['Always', 'kinda', 'awkward', 'when', 'you', 'get', 'the', 'chat', 'group', 'wrong', 'in', 'WoW', '.', 'Sometimes', 'you', ""don't"", 'want', 'the', 'tank', 'to', 'know', ""you're"", 'dissin', ""'"", 'him', '.', 'Oops', '.']"
117,"['Kristen', 'is', 'MY', 'LIFE', '.', 'She', 'made', 'me', 'who', 'i', 'am', 'today', ',', 'I', 'was', 'a', 'fucker', 'before', 'her', ',', 'she', 'fixed', 'me', '.', 'And', 'so', 'did', 'Robert', '.']"
118,"['Wtf', 'do', 'i', 'have', 'a', 'stupid', '3hr', 'shift', 'tonight', '!!', 'I', 'wanna', 'go', 'out', 'and', 'have', 'fun', ':(', 'Oh', 'well', 'time', 'to', 'watch', 'some', 'Jersey', 'Shore', 'haha']"
119,"['@BPadalecki1990', 'Do', 'you', 'have', 'any', 'pic', ""'s"", 'from', 'your', 'wedding', 'day', 'hun', 'I', 'would', 'like', 'to', 'see', 'them']"
120,"['RT', '@HeyThatsSoTrue', ':', 'When', 'I', 'was', 'little', ',', 'I', 'had', 'a', 'huge', 'imagination', '.', 'Now', 'I', ""can't"", 'even', 'make', 'up', 'a', 'story', 'for', 'english', 'class', '.', '#HeyThatsSoTrue']"
121,"['Your', 'paycheck', 'may', 'shrink', 'next', 'year', ',', 'at', 'least', 'temporarily', ',', 'if', 'a', 'vote', 'on', 'extending', 'the', 'Bush', 'tax', 'cuts', 'slips', 'past', 'November', '.', 'http://bit.ly/9y8fdS']"
122,"['Dollar', 'steady', 'versus', 'yen', 'but', 'market', 'wary', 'of', 'intervention', '|', 'Money', '...:', 'The', 'dollar', 'held', 'near', 'its', 'highest', 'in', 'a', 'month', '...', 'http://bit.ly/a0F3dO']"
123,"['Greek', 'Festival', 'at', 'St', 'Johns', 'before', 'ASPEN']"
124,"['Ew', 'wait', 'baq', 'da', 'fuq', 'up', '.', 'I', 'have', 'to', 'look', 'after', 'Michael', 'and', 'his', 'friend', '...', 'JOY', '.', '-___-op']"
125,"['It', ""'s"", '5pm', 'on', 'Friday', '!', 'Wish', 'you', 'guys', 'have', 'a', 'fabulous', 'evening', '!!!', 'And', 'have', 'a', 'wonderful', 'weekend', '&lt;', '3', '&lt;', '3', 'http://fb.me/xLeN7MAe']"
126,"['#jobs', '#careers', '#Greenville', 'AT&amp;T', 'Full', 'Time', 'Retail', 'Sales', 'Consultant(s', ')', '-', 'Greenville', ',', 'AL', 'http://bit.ly/dflARA']"
127,"['MetroPCS', 'has', 'the', 'worst', 'customer', 'service', 'I', ""'ve"", 'experienced', 'in', 'months', '(', 'trying', 'to', 'help', 'someone', 'order', 'a', 'phone', ')', '#metropcs', '#fail']"
128,"['This', 'next', 'question', ',', 'may', 'take', 'a', 'few', 'moments', 'to', 'research', '.', 'BUT', 'the', 'answer', 'IS', 'on', 'JavaMonkeys', '.', 'com', '.', 'So', ',', 'we', 'will', 'pick', 'a', '...', 'http://fb.me/GTRhPujh']"
129,"['I', 'just', 'took', '""', 'Justin', 'Bieber', 'takes', '2', 'months', 'off', 'career', 'to', 'finish', 'school', ',', 'He', 'is', 'a', 'huge', 'player', '...""', 'and', 'got', ':', 'Part', '8', '!', 'Try', 'it', ':', 'http://bit.ly/cNarLp']"
130,"['The', 'week', 'ahead', '-', 'http://newzfor.me/?7jfc']"
131,"['RT', '@NPR', ':', 'Song', 'of', 'the', 'Day', ':', 'Blonde', 'Redhead', ':', 'A', 'Different', 'Kind', 'Of', 'Ache', 'http://n.pr/9O8yXE']"
132,"['we', 'need', 'some', 'time', 'alone', 'we', 'need', 'to', 'let', 'it', 'BREATH']"
133,"['@AishaHanii2', '@starflower1204', 'Ahhh', 'okay', '.', ""I've"", 'never', 'ordered', 'a', 'CD', 'before', 'so', 'I', 'have', 'NO', 'idea', '.', 'just', 'say', 'I', 'NEED', 'IT', 'TO', 'GET', 'THROUGH', 'THE', 'WEEKEND', '!!', 'xD']"
134,"['RT', '@Ashanie_di_Don', ':', '@JDay_Sept15', 'lol', 'i', 'see', 'someone', 'hyped', 'and', 'ready', 'for', '#FlavaFridays', 'tonight', '&lt;', 'every', 'week', '.', 'Lets', 'get', 'it', '!']"
135,"['@BeliebinMinajj', 'OMG', 'MILLIONS', 'it', 'was', 'on', 'repeat', 'yesterday', 'all', 'day', 'till', 'my', 'last', 'lesson', 'and', 'then', 'around', '9pm', 'i', 'put', 'it', 'back', 'and', 'then', 'its', 'been', 'on']"
136,"['But', 'what', 'happens', 'when', 'karam', 'turns', 'right', 'around', 'and', 'bites', 'you', '?', 'And', 'everything', 'you', 'stand', 'for', 'turns', 'on', 'you', 'despite', 'you', '?']"
137,"['Today', 'I', 'must', 'make', 'full', 'use', 'of', 'the', 'filter', '..', 'Please', ""don't"", 'fail', 'me', 'today', '!']"
138,"['@i_r_squared', 'In', 'December', ',', 'I', 'would', 'advise', 'against', 'that', '.']"
139,"['@Johnterrysbabe', 'lol', ""I'm"", 'not', 'up', 'to', 'much', ""I'm"", 'just', 'off', 'to', 'bed', 'lol', 'had', 'a', 'long', 'day', 'cht', 'tumoz', ':)']"
140,"['@rishi_syd', 'hey', ',', ""I'm"", 'fine', '!!', 'Thanx', ':)', 'u', 'too', 'have', 'a', 'great', 'day', ';)']"
141,"['#BlackHoliday', 'Marvin', 'Gaye', 'Day']"
